"","FID","Property","Area","Status","Name","Old_name","RT_status","r_raster3","ARRIVE_MCP","POINT_X","POINT_Y","IPA","art_nat","Perimeter","Type","Purpose","X1990","X1991","X1992","X1993","X1994","X1995","X1996","X1997","X1998","X1999","X2000","X2001","X2002","X2003","X2004","X2005","X2006","X2007","X2008","X2009","Distance","Conversion","Maintenance"
"1151",66,"Anna Plains",0,"Tank","Judith Poly"," "," ",1151,0,-1131236.247,-2146130.098,0,1,0,1,"Artificial",20,26,24,31,26,38,38,40,44,51,67,37,17,23,33,15,56,31,23,27,222.129302,12033.193953,1873.85783206
"1116",67,"Anna Plains",0,"Bore","MRD Bore"," "," ",1116,0,-1117381.944,-2151428.363,0,1,0,1,"Artificial",21,27,23,32,25,35,37,41,43,51,66,36,19,24,33,16,54,32,23,28,220.9961408,12031.4942112,1872.124095424
"1116.1",68,"Anna Plains",0,"Tank","Scotland Fibreglass Tank"," "," ",1116,0,-1118905.27,-2150270.255,0,1,0,1,"Artificial",21,27,23,32,25,35,37,41,43,51,66,36,19,24,33,16,54,32,23,28,220.5459165,12030.81887475,1871.435252245
"1115",69,"Anna Plains",0,"Tank","England Fibreglass Tank"," "," ",1115,0,-1123762.877,-2150384.226,0,1,0,1,"Artificial",21,26,23,31,26,37,37,41,44,51,66,36,18,24,33,16,55,32,23,28,222.6597814,12033.9896721,1874.669465542
"1115.1",70,"Anna Plains",0,"Tank","Wales Fibreglass Tank"," "," ",1115,0,-1127183.846,-2151070.821,0,1,0,1,"Artificial",21,26,23,31,26,37,37,41,44,51,66,36,18,24,33,16,55,32,23,28,224.7457923,12037.11868845,1877.861062219
"1076",71,"Anna Plains",0,"Dam","James Turkey Nest"," "," ",1076,0,-1123175.562,-2157077.619,0,1,0,2,"Artificial",20,26,23,31,26,38,35,40,44,50,65,36,18,23,33,16,55,31,23,27,228.5020835,12042.75312525,1883.608187755
"1033",72,"Anna Plains",0,"Bore","Wotans Bore"," "," ",1033,0,-1132351.782,-2165025.5,0,1,0,1,"Artificial",19,26,19,32,21,38,35,41,44,53,64,36,15,23,33,18,54,29,24,26,239.5646482,12059.3469723,1900.533911746
"1032",73,"Anna Plains",0,"Tank","Wotans Fibreglass Tank"," "," ",1032,0,-1133141.515,-2164445.798,0,1,0,1,"Artificial",19,27,20,32,20,37,35,42,44,51,61,36,14,22,32,18,52,29,24,24,239.3814861,12059.07222915,1900.253673733
"1074",74,"Anna Plains",0,"Dam","Fays Turkey Nest"," "," ",1074,0,-1133230.775,-2157970.578,0,1,0,2,"Artificial",20,27,20,32,21,38,35,42,44,53,64,36,15,23,33,17,53,29,24,24,233.5992506,12050.3988759,1891.406853418
"1113",75,"Anna Plains",0,"Dam","Ooks Turkey Nest"," "," ",1113,0,-1135670.222,-2154607.646,0,1,0,2,"Artificial",20,28,21,32,24,38,36,42,44,52,64,37,17,23,34,17,55,31,25,24,231.6961651,12047.54424765,1888.495132603
"1113.1",76,"Anna Plains",0,"Tank","Brians Poly"," "," ",1113,0,-1136272.255,-2151610.545,0,1,0,1,"Artificial",20,28,21,32,24,38,36,42,44,52,64,37,17,23,34,17,55,31,25,24,229.314807,12043.9722105,1884.85165471
"1357",77,"Anna Plains",0,"Tank","Phire Bore"," "," ",1357,0,-1086305.245,-2108188.295,0,1,0,1,"Artificial",22,32,20,34,24,41,34,44,43,47,67,32,24,24,43,19,65,36,29,36,169.3523739,11954.02856085,1793.109132067
"1326",78,"Anna Plains",0,"Tank","White Gum Bore"," "," ",1326,0,-1087349.687,-2116762.949,0,1,0,1,"Artificial",22,31,18,35,23,41,34,42,42,46,67,31,24,24,41,16,65,36,28,35,177.7921718,11966.6882577,1806.022022854
"1295",79,"Anna Plains",0,"Tank","Milly Milly Bore"," "," ",1295,0,-1090319.708,-2120534.014,0,1,0,1,"Artificial",22,29,17,35,22,39,36,41,42,46,66,31,24,25,41,15,66,35,28,35,182.3300453,11973.49506795,1812.964969309
"1263",80,"Anna Plains",0,"Tank","Walnut Bore"," "," ",1263,0,-1086403.181,-2126525.338,0,1,0,1,"Artificial",23,27,18,36,22,38,36,40,41,48,65,31,23,25,41,14,64,35,28,35,186.7628085,11980.14421275,1819.747097005
"1261",81,"Anna Plains",0,"Tank","Baker Bore"," "," ",1261,0,-1097255.575,-2125950.84,0,1,0,1,"Artificial",23,30,18,36,23,36,37,41,42,48,66,34,23,23,39,14,62,35,30,34,189.805685,11984.7085275,1824.40269805
"1262",82,"Anna Plains",0,"Dam","Bakers Dam"," "," ",1262,0,-1095848.644,-2129291.62,0,1,0,2,"Artificial",23,29,18,36,22,38,36,40,42,48,64,32,23,24,40,14,63,35,29,33,192.4423025,11988.66345375,1828.436722825
"1228",83,"Anna Plains",0,"Tank","Bull Head Bore"," "," ",1228,0,-1101294.268,-2131743.567,0,1,0,1,"Artificial",22,28,19,36,23,37,37,39,41,49,64,35,23,24,39,15,59,36,30,34,196.6646134,11994.9969201,1834.896858502
"1227",84,"Anna Plains",0,"Tank","Wild Dog Bore"," "," ",1227,0,-1105354.011,-2136458.833,0,1,0,1,"Artificial",21,29,19,35,24,36,37,39,42,48,65,37,23,24,37,15,57,36,28,33,202.5455029,12003.81825435,1843.894619437
"1194",85,"Anna Plains",0,"Dam","Bruce Dam"," "," ",1194,0,-1096507.368,-2139391.244,0,1,0,2,"Artificial",21,29,19,35,24,36,37,39,42,48,64,37,23,24,37,15,57,36,28,33,202.1720823,12003.25812345,1843.323285919
"1118",86,"Anna Plains",0,"Tank","Camel Bore"," "," ",1118,0,-1106668.982,-2149793.041,0,1,0,1,"Artificial",23,27,23,34,23,37,37,41,42,51,65,35,22,24,35,17,55,34,22,29,215.4373601,12023.15604015,1863.619160953
"1121",87,"Anna Plains",0,"Dam","Bob's Bore"," "," ",1121,0,-1097039.778,-2149409.883,0,1,0,2,"Artificial",21,28,20,34,24,36,37,38,41,49,63,35,25,24,35,17,56,35,26,31,211.8215238,12017.7322857,1858.086931414
"1154.1",88,"Anna Plains",0,"Tank","Rosewood Bore"," "," ",1154,0,-1113520.455,-2146978.638,0,1,0,1,"Artificial",23,27,23,34,24,37,37,41,42,51,66,37,22,24,34,17,54,34,22,29,215.3863047,12023.07945705,1863.541046191
"1117",89,"Anna Plains",0,"Tank","Emu Bore"," "," ",1117,0,-1113910.154,-2152447.483,0,1,0,1,"Artificial",23,28,23,31,24,37,37,41,43,51,66,36,21,23,33,16,54,33,22,28,220.5822032,12030.8733048,1871.490770896
"1078",90,"Anna Plains",0,"Bore","Roscoe Bore"," "," ",1078,0,-1115442.318,-2156836.754,0,1,0,1,"Artificial",22,27,23,32,24,35,37,42,43,51,66,36,19,23,33,16,54,32,23,28,225.2240217,12037.83603255,1878.592753201
