ID,LONG,LAT,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009
224,122.8000031,-20.39999962,24,35,18,38,31,50,40,59,51,57,67,43,34,30,49,25,67,34,40,40
225,122.8499985,-20.39999962,22,33,18,36,28,46,38,57,49,57,66,39,30,29,48,24,64,32,38,39
226,119.1500015,-20.35000038,21,22,24,32,19,40,31,39,30,34,55,32,18,22,25,19,52,28,34,37
227,119.1999969,-20.35000038,21,23,22,31,19,33,30,39,27,35,51,32,18,22,26,19,52,29,34,37
228,119.25,-20.35000038,21,22,21,32,19,30,29,31,27,37,50,31,19,22,27,19,52,29,33,37
229,119.3000031,-20.35000038,19,22,22,32,20,27,29,34,30,38,50,30,19,21,27,19,52,29,34,37
230,119.3499985,-20.35000038,19,21,23,33,21,28,28,34,30,41,54,31,19,21,28,18,53,28,33,39
231,119.4000015,-20.35000038,19,20,21,34,23,29,28,36,29,43,54,31,20,21,28,18,54,27,34,40
232,119.4499969,-20.35000038,19,20,22,36,25,33,27,38,30,43,58,31,20,22,28,18,54,28,36,40
233,119.5,-20.35000038,20,20,22,37,24,35,27,40,30,47,62,36,19,23,25,19,54,26,36,41
234,119.5500031,-20.35000038,20,23,26,34,24,34,26,47,28,51,65,38,20,25,26,20,52,29,36,41
235,119.5999985,-20.35000038,21,25,26,32,24,35,30,49,31,51,66,38,21,26,28,20,51,30,36,39
236,119.6500015,-20.35000038,21,26,30,34,27,39,35,50,33,51,66,39,21,27,28,20,52,30,38,37
237,119.6999969,-20.35000038,21,26,32,33,27,37,35,51,32,51,67,40,23,26,28,22,52,30,38,36
238,119.75,-20.35000038,22,26,32,33,27,37,33,53,33,52,67,42,24,26,29,22,52,31,38,35
239,119.8000031,-20.35000038,21,27,33,33,25,36,32,55,34,52,65,40,24,27,31,21,52,32,37,34
240,119.8499985,-20.35000038,20,26,33,32,25,34,32,54,34,51,61,38,25,28,30,21,51,33,36,33
241,119.9000015,-20.35000038,21,29,33,32,25,34,32,55,35,51,60,35,22,26,31,20,51,31,37,33
242,119.9499969,-20.35000038,21,30,34,33,25,34,33,54,35,51,60,36,20,26,32,19,51,30,38,34
243,120,-20.35000038,21,29,32,32,25,33,33,51,34,49,61,34,20,25,31,16,54,30,37,36
244,120.0500031,-20.35000038,21,28,32,32,24,32,33,48,33,50,62,35,20,25,31,16,55,28,36,39
245,120.0999985,-20.35000038,22,29,30,32,24,31,34,48,33,50,61,35,20,25,31,16,55,28,34,38
246,120.1500015,-20.35000038,21,28,30,31,24,31,31,48,34,48,60,35,20,27,31,16,55,28,35,39
247,120.1999969,-20.35000038,22,28,28,31,23,32,32,49,36,49,59,35,20,27,31,17,55,28,35,40
248,120.25,-20.35000038,22,30,27,31,22,34,34,48,37,49,61,37,21,28,32,18,58,28,35,39
249,120.3000031,-20.35000038,22,30,26,30,22,36,35,47,39,49,59,38,22,28,35,20,57,26,35,40
250,120.3499985,-20.35000038,22,31,27,32,24,38,35,47,43,50,58,38,24,31,37,20,55,25,33,39
251,120.4000015,-20.35000038,22,29,26,33,24,41,35,46,43,50,58,37,25,31,36,19,56,25,33,38
252,120.4499969,-20.35000038,21,30,26,32,23,42,36,48,42,52,60,38,24,31,37,19,56,25,33,38
253,120.5,-20.35000038,24,30,25,32,24,43,39,48,43,52,59,37,25,31,36,19,57,25,34,39
